Author_id,Name
1,"Mark P. O. Morford,Robert J. Lenardon"
2,Richard Bruce Wright
3,Carlo D'Este
4,Gina Kolata
5,"Elizabeth Wayland Barber,E. J. W. Barber"
6,Amy Tan
7,Robert Cowley
8,"Scott Turow,Stacy Keach"
9,David Cordingly
10,Ann Beattie
11,David Adams Richards
12,Kensington
13,Sheila Heti
14,J. R. Kaiser
15,"Jack Canfield,Mark Victor Hansen,Jennifer Read Haw"
16,"Loren D. Estleman,John Kenneth"
17,Robert Hendrickson
18,Julia Oliver
19,John Grisham
20,Toni Morrison
21,"The Onion,Scott Dikkers,Mike Loew"
22,"Celia Brooks Brown,Jane Noraika,Philip Webb"
23,J. R. Parrish
24,Mary-kate &amp; Ashley Olsen
25,Robynn Clairday
26,"Kathleen Duey,Karen A. Bale,Bill Dodge"
27,Rich Shapero
28,Michael Crichton
29,C.S. Lewis
30,Arthur Phillips
31,Stephen Jaramillo
32,"Mordecai Richler,Michael Panofsky,Anette Grube"
33,"Eleanor Cooney,Daniel Altieri"
34,Charlotte Link
35,"Richard North Patterson,Kristian Lutze"
36,Mark Salzman
37,Harper Lee
38,Laura Hillenbrand
39,Barbara Kingsolver
40,Jo Dereske
41,Jane Austen
42,Dolores Krieger
43,Anne Rivers Siddons
44,Dean Koontz
45,Mary Higgins Clark
46,Patricia Cornwell
47,J.D. Robb
48,Maeve Binchy
49,Laura J. Mixon
50,"Tim LaHaye,Jerry B. Jenkins"
51,Bernie S. Siegel M.D.
52,Robert Penn Warren
53,Hans Johannes Hoefer
54,Mark Helprin
55,"O. Carl Simonton M.D.,James Creighton Ph.D.,Stepha"
56,Chuck Hill
57,David Iglehart
58,Larry McMurtry
59,Suzanne Fisher Staples
60,Michel Tournier
61,Carl Sagan
62,Aleksandr Zinoviev
63,Anne Tyler
64,Joseph Conrad
65,"Deepak Chopra,Martin Greenberg"
66,Thomas Hardy
67,"Charles Noland,Sherri Baker"
68,Valerie Frankel
69,Benjamin Hoff
70,Niccolo Machiavelli
71,H. Jackson Brown Jr.
72,Robert A. Heinlein
73,Philip Pullman
74,Michael Ondaatje
75,Sandra Levy Ceren
76,P. J. O'Rourke
77,Mike Gayle
78,Stel Pavlou
79,Sarah Payne Stuart
80,Dan Quayle
81,"Donald F. Kettl,Donald Kettl"
82,David Frum
83,Louis L'Amour
84,J.D. Salinger
85,John Berendt
86,Jennifer Crusie
87,Jane Heller
88,Michael Rips
89,Simon Mawer
90,William Abrahams
91,"Robert T. Kiyosaki,Sharon L. Lechter"
92,Ken Follett
93,John F. Love
94,Robert G. Allen
95,Louis De Bernieres
96,"Pam Proctor,Allen M. Schoen"
97,Mitch Albom
98,"Michael Jan Friedman,Ronald D. Moore"
99,Glendon Swarthout
100,"Neal Barrett Jr.,J. Michael Straczynski"
101,David Morrell
102,Sandra Brown
103,"James Patterson,Peter De Jonge"
104,Stuart Woods
105,Iris Johansen
106,Dan Brown
107,Joe Hutsko
108,Anita Shreve
109,Ann Rule
110,Lewis Grizzard
111,Paul Theroux
112,"Charles Hickey,Todd Lighty,John O'Brien"
113,Stephen King
114,Ben Mezrich
115,Bill Hand
116,Tom Clancy
117,Dana Reeve
118,Roy
119,Barbara Metzger
120,Gabriel Garcia Marquez
121,Rebecca Wells
122,Tony Hillerman
123,Robert James Waller
124,Rachel Harris
125,Ian McEwan
126,Michael Lewis
127,Richard Zimler
128,Norman Jetmundsen
129,Lorenzo Carcaterra
130,Anne Frasier
131,Kay Hooper
132,Daphne Du Maurier
133,"Nathaniel Hawthorne,Leo Marx"
134,Nick Page
135,Laura Wolf
136,Lois Duncan
137,Susan Grant
138,Barbara Vine
139,Shirley Rousseau Murphy
140,Jane Lindskold
141,Betty Smith
142,"Cybill Shepherd,Aimee Lee Ball"
143,Stewart O'Nan
144,David Baldacci
145,Douglas Adams
146,Mary Lawson
147,Willa Cather
148,Olivia Goldsmith
149,Helen Fielding
150,"Jane Austen,Dover Thrift Editions"
151,Franklin W. Dixon
152,Lilian Jackson Braun
153,"Holly Virden,Michelle McKinney Hammond"
154,H. Norman Wright
155,Piers Anthony
156,Ray Bradbury
157,"Friedrich Schiller,Walter Schafarschik"
158,"Ray Bradbury,Peter Naujack"
159,"Raymond Chandler,Hans Wollschläger"
160,"Ray Bradbury,Thomas Schlück"
161,"Ray Bradbury,Norbert Wölfl"
162,"Ray Bradbury,Alexander Schmitz"
163,"Ray Bradbury,Jürgen Bauer,Alastair Ker"
164,"Paulo Coelho,Maralde Meyer-Minnemann"
165,Gabriel García Márquez
166,Fay Weldon
167,Arabella Weir
168,"Kiana Davenport,Margarete Längsfeld"
169,Sue Townsend
170,Renan Demirkan
171,"Michael Moore,Helmut Dierlamm,Heike Schlatterer"
172,"Jonathan Franzen,Bettina Abarbanell"
173,"J. D. Salinger,Annemarie Böll,Heinrich Böll,Elisab"
174,"J. D. Salinger,Annemarie Böll,Heinrich Böll"
175,"James Joyce,Hans Wollschläger"
176,Joanna Trollope
177,"Sue Townsend,Antoinette Gittinger"
178,Milan Kundera
179,Arundhati Roy
180,Robert S. Levinson
181,James Patterson
182,Richard North Patterson
183,Lorna Landvik
184,Arthur Golden
185,Kent Haruf
186,Patricia D Cornwell
187,Patricia D. Cornwell
188,"Carol J. Farley,Tom Newsom"
189,Kathleen E. Woodiwiss
190,Belva Plain
191,Mark Haddon
192,Ann Brashares
193,Erich Segal
194,Elizabeth Adler
195,Nicholas Sparks
196,John Saul
197,Steve Thayer
198,Tracy Chevalier
199,Judith Kelman
200,Michael Palmer
201,Francine Hughes
202,Norman Bridwell
203,Frank McCourt
204,Malachy Mccourt
205,Mari Sandoz
206,Anne Perry
207,Alexander Mccall Smith
208,"Jack Canfield,Mark Victor Hansen,Barbara Bergman"
209,Gregory Maguire
210,Yann Martel
211,Ruth Rendell
212,Al Franken
213,Donna Tartt
214,John Milne
215,Terry Pratchett
216,"E. B. White,Garth Williams"
217,J. M. Barrie
218,Mary O'Hara
219,"Terry Pratchett,Paul Kidby"
220,Louise Rennison
221,JANE AUSTEN
222,Kenneth Grahame
223,Bernard Cornwell
224,Charles De Lint
225,"Lord Dunsany,Neil Gaiman"
226,Georgette Heyer
